sk_date,bk_product,idx_value
20060410,CCFI,1250.8757
20060410,h11001,113.27
20060411,000300,1123.308
20060411,000852,982.143
20060411,000905,1094.409
20060411,000906,1106.662
20060411,CCFI,1270.9062
20060411,h11001,113.23
20060412,000300,1117.073
20060412,000852,986.351
20060412,000905,1095.497
20060412,000906,1102.499
20060412,CCFI,1264.6698
20060412,h11001,113.18
20060413,000300,1093.925
20060413,000852,960.327
20060413,000905,1062.69
20060413,000906,1076.86
20060413,CCFI,1271.7691
20060413,h11001,113.2
20060414,000300,1118.607
20060414,000852,977.089
20060414,000905,1088.183
20060414,000906,1101.98
20060414,CCFI,1290.9513
20060414,h11001,113.01
20060417,000300,1124.414
20060417,000852,988.191
20060417,000905,1093.513
20060417,000906,1107.754
20060417,CCFI,1326.1238
20060417,h11001,112.89
20060418,000300,1131.281
20060418,000852,986.353
20060418,000905,1097.73
20060418,000906,1113.955
20060418,CCFI,1332.9703
20060418,h11001,112.85
20060419,000300,1138.241
20060419,000852,982.987
20060419,000905,1100.661
20060419,000906,1120.167
20060419,CCFI,1365.0979
20060419,h11001,112.86
20060420,000300,1134.381
20060420,000852,970.807
20060420,000905,1091.851
20060420,000906,1115.053
20060420,CCFI,1354.5174
20060420,h11001,112.88
20060421,000300,1149.158
20060421,000852,972.541
20060421,000905,1102.547
20060421,000906,1128.676
20060421,CCFI,1321.5833
20060421,h11001,112.85
20060424,000300,1142.698
20060424,000852,950.931
20060424,000905,1094.375
20060424,000906,1121.781
20060424,CCFI,1375.7249
20060424,h11001,112.81
20060425,000300,1141.93
20060425,000852,945.522
20060425,000905,1103.059
20060425,000906,1123.652
20060425,CCFI,1402.4156
20060425,h11001,112.74
20060426,000300,1155.726
20060426,000852,956.2
20060426,000905,1116.811
20060426,000906,1137.345
20060426,CCFI,1434.0809
20060426,h11001,112.74
20060427,000300,1155.268
20060427,000852,957.592
20060427,000905,1125.32
20060427,000906,1139.39
20060427,CCFI,1482.9373
20060427,h11001,112.85
20060428,000300,1172.347
20060428,000852,965.291
20060428,000905,1141.685
20060428,000906,1156.003
20060428,CCFI,1456.0982
20060428,h11001,112.94
20060508,000300,1218.445
20060508,000852,993.199
20060508,000905,1180.728
20060508,000906,1199.828
20060508,CCFI,1495.0102
20060508,h11001,113.01
20060509,000300,1251.611
20060509,000852,1022.822
20060509,000905,1218.094
20060509,000906,1233.944
20060509,CCFI,1545.1072
20060509,h11001,113.06
20060510,000300,1265.933
20060510,000852,1037.927
20060510,000905,1241.571
20060510,000906,1250.722
20060510,CCFI,1598.3802
20060510,h11001,113.13
20060511,000300,1255.035
20060511,000852,1033.477
20060511,000905,1237.772
20060511,000906,1241.874
20060511,CCFI,1660.4012
20060511,h11001,113.27
20060512,000300,1296.257
20060512,000852,1066.17
20060512,000905,1283.677
20060512,000906,1284.13
20060512,CCFI,1696.9973
20060512,h11001,113.31
20060515,000300,1352.155
20060515,000852,1108.901
20060515,000905,1344.924
20060515,000906,1341.151
20060515,CCFI,1732.433
20060515,h11001,113.26
20060516,000300,1331.127
20060516,000852,1080.741
20060516,000905,1297.932
20060516,000906,1313.011
20060516,CCFI,1664.2176
20060516,h11001,113.3
20060517,000300,1335.523
20060517,000852,1101.686
